Date,mean,w_meanlist
2022-05-01,0.145835,0.1855144876325088
2022-05-02,0.1646649999999999,0.207754906542056
2022-05-03,-0.02172,-0.0283304347826086
2022-05-04,0.1407333333333333,0.2122793296089385
2022-05-05,0.0250028571428571,0.0357183673469387
2022-05-06,0.109095,0.1422978260869565
2022-05-07,0.0563416666666666,0.0817862903225806
2022-05-08,0.043051798561151,0.0621914549653579
2022-05-09,0.0705325,0.0969148854961832
2022-05-10,0.0341,0.046854961832061
2022-05-11,-0.0108983333333333,-0.0171078488372092
2022-05-12,0.1627999999999999,0.207095406360424
2022-05-13,-0.0066625,-0.0094058823529411
2022-05-14,0.0439528301886792,0.0653809771309771
2022-05-15,0.0930625,0.1213858695652173
2022-05-16,0.0724925,0.0922166077738515
2022-05-17,0.1643616666666666,0.2385895161290323
2022-05-18,0.0929275,0.1348947580645161
2022-05-19,0.178305,0.2449992366412213
2022-05-20,0.1317257142857143,0.1852392857142857
2022-05-21,0.0829149999999999,0.10815
2022-05-22,0.2365525,0.3339564705882352
2022-05-23,0.098035,0.1384023529411765
2022-05-24,0.1016649999999999,0.144852506596306
2022-05-25,0.0441916666666666,0.0666578212290502
2022-05-26,0.1009849999999999,0.1387580152671756
2022-05-27,0.0745767923133776,0.109795865070729
2022-05-28,0.0611390190336749,0.0911303467507274
2022-05-29,0.0801075524475524,0.1192027055150884
2022-05-30,0.0711483886483886,0.1181240017746228
